LCLid,Acorn,cluster_id
MAC000463,ACORN-E,0
MAC000464,ACORN-A,2
MAC000465,ACORN-F,2
MAC000466,ACORN-L,1
MAC000467,ACORN-F,2
MAC000468,ACORN-F,0
MAC000469,ACORN-E,2
MAC000470,ACORN-G,2
MAC000471,ACORN-Q,1
MAC000472,ACORN-Q,1
MAC000473,ACORN-E,2
MAC000474,ACORN-O,1
MAC000475,ACORN-E,0
MAC000476,ACORN-F,2
MAC000477,ACORN-M,1
MAC000478,ACORN-E,2
MAC000479,ACORN-F,2
MAC000480,ACORN-E,0
MAC000481,ACORN-P,1
MAC000482,ACORN-E,2
MAC000483,ACORN-N,1
MAC000484,ACORN-L,1
MAC000485,ACORN-E,2
MAC000486,ACORN-Q,1
MAC000487,ACORN-A,2
MAC000488,ACORN-E,2
MAC000489,ACORN-E,2
MAC000490,ACORN-L,1
MAC000491,ACORN-O,1
MAC000492,ACORN-I,2
MAC000493,ACORN-M,1
MAC000494,ACORN-F,2
MAC000495,ACORN-E,2
MAC000496,ACORN-E,2
MAC000497,ACORN-E,2
MAC000498,ACORN-H,0
MAC000499,ACORN-E,2
MAC000500,ACORN-E,2
MAC000501,ACORN-F,2
MAC000502,ACORN-F,2
MAC000503,ACORN-D,2
MAC000504,ACORN-E,2
MAC000505,ACORN-E,2
MAC000506,ACORN-E,2
MAC000507,ACORN-Q,1
MAC000508,ACORN-E,2
MAC000509,ACORN-E,2
MAC000510,ACORN-Q,1
MAC000511,ACORN-Q,1
MAC000512,ACORN-J,0
MAC000513,ACORN-Q,1
MAC000514,ACORN-O,1
MAC000515,ACORN-K,1
MAC000516,ACORN-E,2
MAC000517,ACORN-C,2
MAC000518,ACORN-E,2
MAC000519,ACORN-G,0
MAC000520,ACORN-J,2
MAC000521,ACORN-E,2
MAC000522,ACORN-D,0
MAC000523,ACORN-E,2
MAC000524,ACORN-G,0
MAC000525,ACORN-E,2
MAC000526,ACORN-E,2
MAC000527,ACORN-Q,1
MAC000528,ACORN-O,1
MAC000529,ACORN-Q,1
MAC000530,ACORN-F,0
MAC000531,ACORN-D,2
MAC000532,ACORN-K,1
MAC000533,ACORN-H,2
MAC000534,ACORN-Q,1
MAC000535,ACORN-A,0
MAC000536,ACORN-F,2
MAC000537,ACORN-K,1
MAC000538,ACORN-E,2
MAC000539,ACORN-F,2
MAC000540,ACORN-E,2
MAC000541,ACORN-Q,1
MAC000542,ACORN-Q,1
MAC000543,ACORN-Q,1
MAC000544,ACORN-E,2
MAC000545,ACORN-C,2
MAC000546,ACORN-E,0
MAC000547,ACORN-H,0
MAC000548,ACORN-L,0
MAC000549,ACORN-Q,1
MAC000550,ACORN-F,0
MAC000551,ACORN-D,2
MAC000552,ACORN-K,1
MAC000553,ACORN-F,2
MAC000554,ACORN-H,0
MAC000555,ACORN-P,0
MAC000556,ACORN-Q,1
MAC000557,ACORN-A,0
MAC000558,ACORN-Q,1
MAC000559,ACORN-L,1
MAC000560,ACORN-Q,1
MAC000561,ACORN-E,2
MAC000562,ACORN-E,2
MAC000563,ACORN-F,2
MAC000564,ACORN-E,2
MAC000565,ACORN-P,1
MAC000566,ACORN-K,0
MAC000567,ACORN-E,2
MAC000568,ACORN-L,1
MAC000569,ACORN-A,0
MAC000570,ACORN-P,1
MAC000571,ACORN-Q,1
MAC000572,ACORN-D,2
MAC000573,ACORN-L,1
MAC000574,ACORN-K,1
MAC000575,ACORN-Q,1
MAC000576,ACORN-Q,1
MAC000577,ACORN-E,0
MAC000578,ACORN-H,2
MAC000579,ACORN-Q,1
MAC000580,ACORN-Q,1
MAC000581,ACORN-N,1
MAC000582,ACORN-K,0
MAC000583,ACORN-Q,1
MAC000584,ACORN-J,2
MAC000585,ACORN-Q,1
MAC000586,ACORN-F,2
MAC000587,ACORN-O,1
MAC000588,ACORN-H,2
MAC000589,ACORN-H,2
MAC000590,ACORN-L,1
MAC000591,ACORN-F,2
MAC000592,ACORN-L,1
MAC000593,ACORN-A,2
MAC000594,ACORN-F,2
MAC000595,ACORN-G,2
MAC000596,ACORN-E,0
MAC000597,ACORN-P,1
MAC000598,ACORN-C,2
MAC000599,ACORN-Q,1
MAC000600,ACORN-E,2
MAC000601,ACORN-K,1
MAC000602,ACORN-E,2
MAC000603,ACORN-E,2
MAC000604,ACORN-O,1
MAC000605,ACORN-F,2
MAC000606,ACORN-B,2
MAC000607,ACORN-L,1
MAC000608,ACORN-L,1
MAC000609,ACORN-A,2
MAC000610,ACORN-E,2
MAC000611,ACORN-H,2
MAC000612,ACORN-E,0
MAC000613,ACORN-F,2
MAC000614,ACORN-H,0
MAC000615,ACORN-Q,1
MAC000616,ACORN-Q,1
MAC000617,ACORN-P,1
MAC000618,ACORN-E,2
